id   ,subtotal ,tax_percent ,tip
4143 ,   18.73 ,     0.0361 , 3.75
0801 ,   32.31 ,     0.1077 , 2.58
0740 ,   50.72 ,     0.0519 , 8.62
8262 ,   39.44 ,     0.053  , 5.13
0801 ,   45.29 ,     0.0731 , 5.89
2447 ,   43.4  ,     0.0584 , 3.47
0964 ,   44.83 ,     0.1061 , 9.86
1670 ,   52.3  ,     0.0488 , 5.75
1670 ,   52.75 ,     0.1071 , 4.75
7294 ,   46.32 ,     0.051  , 6.02
8863 ,   33.78 ,     0.0205 , 6.42
8273 ,   21.5  ,     0.0784 , 1.93
6106 ,   54.77 ,     0.0395 ,10.41
0801 ,   33.08 ,     0.0304 , 3.31
1670 ,   16.0  ,     0.1154 , 1.92
4936 ,   41.94 ,     0.0829 , 3.36
4637 ,   51.17 ,     0.0835 , 8.19
1909 ,   22.66 ,     0.0977 , 4.08
8273 ,   16.89 ,     0.0271 , 2.53
0816 ,   41.4  ,     0.04   , 6.21
7294 ,   22.53 ,     0.027  , 3.6
6106 ,   19.91 ,     0.0456 , 2.59
0740 ,   27.23 ,     0.0945 , 3.0
